Index,Elevation,Aspect,Slope,Horiz_dist_hydro,Vertical_dist_hydro,Horiz_dist_roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horiz_dist_firepoints,Cover_Type,Wilderness_Area,Soil_Type
4614,2869,354,20,134,50,1548,182,200,152,2526,2,3,33
4615,3140,91,11,124,23,693,237,223,115,1900,1,3,22
4616,2782,74,11,0,0,2352,233,219,116,2877,2,1,23
4617,3268,37,12,488,61,1610,219,214,128,2739,1,3,32
4618,2547,71,25,108,28,785,238,184,63,997,2,3,11
4619,2655,0,6,67,8,376,211,228,155,1343,2,1,12
4620,2629,125,27,30,-3,1434,253,210,67,993,2,3,13
4621,2858,307,9,60,7,661,195,235,180,511,1,3,13
4622,3123,317,9,297,8,2590,197,233,175,964,2,1,29
4623,2970,45,8,212,-20,3867,223,222,134,1423,2,1,29
4624,2860,116,28,85,26,5560,254,200,53,4589,2,1,30
4625,3291,74,14,170,-7,2711,236,213,106,2608,1,1,30
4626,2533,143,7,484,52,849,231,239,140,1190,3,3,2
4627,3170,3,5,60,0,4267,213,230,155,3267,1,1,22
4628,2865,53,9,0,0,242,226,221,129,2181,2,1,23
4629,2714,38,19,212,83,1671,217,195,107,1613,2,1,29
4630,2968,223,12,242,141,5149,204,251,182,4948,2,1,12
4631,3037,190,20,67,17,3078,215,251,160,1426,2,3,33
4632,3176,277,10,313,23,1585,192,242,189,300,1,3,23
4633,2755,112,15,90,20,1431,245,223,103,2371,2,1,29
4634,3055,64,22,153,27,4882,234,188,75,2739,1,1,29
4635,2593,171,11,210,54,1326,228,245,147,1880,3,3,4
4636,3153,359,24,335,77,1260,177,189,143,1651,2,3,33
4637,2263,100,25,60,22,335,251,198,59,1784,4,4,3
4638,2532,205,18,437,-67,706,207,253,175,1253,3,3,2
4639,2762,25,17,216,89,228,209,200,123,2670,2,1,24
4640,2602,83,9,90,-1,1595,233,224,122,1052,3,3,2
4641,2982,98,11,228,50,4377,238,224,115,1888,2,1,30
4642,2607,42,15,382,44,658,221,206,116,2862,2,1,29
4643,3313,13,9,459,-19,1507,211,221,146,1981,1,1,35
4644,2717,205,29,360,-31,2274,190,251,180,1802,2,3,4
4645,3530,331,21,210,36,1742,167,209,180,2155,7,2,40
4646,2471,354,9,190,30,661,206,225,158,1298,3,4,6
4647,2726,29,13,503,69,541,215,210,129,808,2,3,11
4648,2925,230,7,421,-50,1130,209,247,175,335,2,3,32
4649,2942,62,11,190,15,4710,230,216,118,4380,2,1,29
4650,2925,70,10,323,-2,847,231,221,123,2343,2,1,23
4651,3168,117,11,433,36,531,238,230,121,5716,1,2,23
4652,2352,315,17,60,13,1482,172,223,191,400,6,4,10
4653,2964,26,15,335,71,182,212,205,127,420,1,3,33
4654,3360,283,9,481,20,3249,194,241,186,1729,1,1,39
4655,2985,202,14,234,36,5644,212,252,171,2384,1,1,29
4656,3126,333,8,488,-59,1025,202,230,167,1025,1,2,23
4657,3175,116,8,120,-3,2295,235,232,129,891,1,1,23
4658,3342,167,12,256,60,1224,230,244,145,957,1,1,39
4659,3035,68,5,67,6,1861,225,230,139,1710,1,1,30
4660,2686,48,18,511,19,805,224,198,102,1445,2,1,29
4661,2735,0,15,60,10,1561,197,211,150,2314,2,1,12
4662,2945,326,5,598,39,5600,207,234,166,1940,2,1,29
4663,2554,174,7,0,0,1401,225,244,153,1084,3,3,17
4664,3265,63,5,212,10,904,225,229,139,1900,1,1,23
4665,2834,59,4,60,-2,3695,223,231,143,6334,2,1,12
4666,3245,125,12,362,117,4146,240,232,120,1298,2,1,29
4667,3109,57,19,570,-65,1259,229,197,93,992,1,1,29
4668,2820,322,19,67,18,4402,169,218,187,437,1,1,29
4669,2827,99,17,90,25,120,246,214,90,661,1,1,29
4670,2690,53,5,30,0,680,223,229,142,1443,1,1,12
4671,2914,5,11,283,83,4999,205,218,149,495,2,1,29
4672,2687,89,15,95,9,1253,241,215,100,805,2,3,31
4673,2710,45,11,242,63,1140,223,217,127,1917,2,1,12
4674,3195,23,7,451,51,6132,216,225,145,1159,1,1,29
4675,2784,340,14,150,6,1621,189,218,168,1531,1,3,10
4676,2965,116,8,30,-2,4106,235,232,129,5344,2,1,29
4677,3319,139,29,531,187,3446,248,217,76,541,1,3,39
4678,3053,236,12,600,167,3091,198,251,189,674,2,3,32
4679,2529,340,23,127,10,277,166,201,169,1529,2,3,10
4680,2991,107,9,268,26,5132,236,229,124,5988,2,1,12
4681,2916,33,10,120,16,4642,218,219,136,1672,2,1,30
4682,3056,136,15,150,12,3331,242,233,116,618,2,1,29
4683,2067,322,28,216,146,242,139,200,195,499,3,4,10
4684,3242,119,28,324,129,912,254,204,58,1761,1,1,30
4685,2883,329,12,395,211,1148,190,225,174,700,5,3,32
4686,3416,346,15,497,187,977,189,214,163,1390,7,2,40
4687,2959,214,14,201,45,390,206,252,179,1413,2,3,32
4688,3123,353,8,309,28,1445,207,227,158,1206,2,2,24
4689,3219,182,13,90,4,2861,224,248,155,2460,7,1,29
4690,3089,48,14,180,17,1206,224,208,115,1505,2,3,31
4691,3059,110,15,162,49,808,244,222,103,2053,2,1,29
4692,3103,45,17,120,31,3035,222,201,107,5356,1,1,29
4693,2592,61,18,150,-4,916,232,200,94,721,2,1,22
4694,3009,26,10,458,95,3029,215,218,138,741,2,3,32
4695,2660,18,3,210,8,752,217,233,153,1611,2,1,29
4696,2130,111,32,361,170,400,254,187,33,495,3,4,1
4697,3279,137,24,443,114,1742,248,222,87,1371,1,2,33
4698,2979,79,11,218,50,2040,235,220,115,1900,2,3,31
4699,2261,314,27,108,45,900,138,207,204,212,3,4,10
4700,3040,322,3,234,58,1233,212,236,162,1253,2,3,32
4701,2751,74,4,67,2,992,225,231,142,2272,2,3,17
4702,2069,25,30,42,16,979,191,162,92,365,3,4,10
4703,3252,41,20,644,176,693,218,193,102,2030,2,3,33
4704,3304,39,13,362,-27,3282,220,210,122,1867,7,3,39
4705,3194,75,8,793,113,1360,230,225,127,2439,1,3,32
4706,2991,161,19,216,-9,3800,235,241,129,5595,2,1,30
4707,2608,104,29,30,8,1442,253,189,41,1358,3,3,3
4708,2710,163,5,30,-5,1396,225,241,151,2160,2,1,12
4709,3013,15,19,162,76,256,199,196,129,1514,2,3,31
4710,2284,118,35,175,96,1624,254,184,0,95,3,4,3
4711,2024,44,32,42,27,180,210,155,59,277,3,4,4
4712,3302,212,17,108,-4,3547,204,254,181,1734,1,3,32
4713,2624,25,11,420,-15,850,215,216,137,832,3,3,11
4714,3444,316,16,618,131,1060,177,225,188,1392,7,2,40
4715,3163,264,19,765,242,3269,170,245,212,2424,1,3,31
4716,3085,113,16,510,30,499,246,222,100,1158,1,3,32
4717,2923,255,20,591,210,470,170,248,214,1742,2,3,4
4718,3127,248,15,612,206,3147,188,250,199,2363,1,3,31
4719,3092,204,6,108,1,2016,217,245,164,607,2,3,32
4720,3124,74,9,242,38,3605,231,223,125,1170,1,1,29
4721,3165,59,10,283,48,810,228,220,125,2056,1,3,22
4722,2979,346,2,769,177,1092,215,235,158,2353,2,3,32
4723,3167,80,9,30,-3,4969,233,223,122,2293,1,1,29
4724,2790,22,19,297,68,1528,205,197,123,1463,2,3,31
4725,3284,318,13,60,29,6186,187,228,182,228,1,1,22
4726,3054,198,5,870,82,5887,218,244,161,3733,1,1,29
4727,3314,199,25,150,-12,2839,203,252,170,485,1,3,33
4728,2634,58,25,201,39,1172,229,180,70,2040,2,1,30
4729,2964,193,18,201,27,2462,215,251,164,957,1,3,13
4730,2540,174,25,366,82,2177,225,243,135,240,3,3,4
4731,2781,93,20,335,48,2998,247,205,78,1396,2,3,2
4732,2860,71,12,0,0,492,233,216,113,1302,2,3,32
4733,3191,33,24,362,79,5038,207,179,96,2971,2,1,30
4734,3254,55,8,300,0,825,225,224,133,1790,1,1,23
4735,3078,285,14,60,17,2359,181,239,198,573,2,3,32
4736,2905,205,11,277,42,2431,213,250,171,2228,2,3,26
4737,2866,278,16,277,84,2271,176,241,204,1116,2,3,31
4738,2794,340,6,67,14,3161,207,231,163,5653,2,1,12
4739,2491,90,1,272,14,942,220,237,153,4175,2,1,18
4740,3138,356,15,433,57,1142,196,213,154,2547,1,3,31
4741,2749,135,17,30,10,390,244,231,110,390,5,1,30
4742,3244,28,11,424,23,3799,216,216,135,3136,1,1,40
4743,3278,137,9,0,0,1507,234,237,134,2978,1,1,38
4744,2818,359,11,524,88,30,203,220,154,1075,2,3,11
4745,2339,280,23,295,86,376,150,235,222,631,3,4,10
4746,3239,246,6,454,62,2999,207,245,176,959,2,3,32
4747,2973,85,11,228,34,309,236,221,114,2092,2,3,32
4748,3010,59,28,300,102,2414,228,170,58,1984,1,3,33
4749,3237,61,17,598,30,1798,231,202,98,2603,1,3,32
4750,2788,76,21,127,31,2866,240,196,76,2132,2,1,29
4751,3063,12,12,90,12,371,207,215,143,1213,2,1,23
4752,3044,87,10,153,7,6585,235,224,119,2932,2,1,29
4753,3168,48,21,335,59,5057,223,190,93,3029,2,1,22
4754,2482,28,18,120,32,785,210,198,118,384,3,4,6
4755,2959,115,16,283,42,5288,246,222,99,2315,2,1,22
4756,2802,23,14,180,18,2416,211,209,131,1368,2,1,29
4757,3416,323,12,875,141,2340,189,227,178,1321,1,3,32
4758,3156,330,9,182,28,4715,198,229,170,2553,2,1,29
4759,2576,24,11,120,9,1260,214,216,137,2550,2,3,11
4760,3202,67,12,700,181,2563,232,215,113,3037,1,3,31
4761,3064,198,10,85,16,1804,217,249,166,454,2,3,13
4762,2950,135,5,150,20,3679,227,238,144,2053,2,1,12
4763,2337,137,30,421,43,1189,249,212,67,706,4,4,6
4764,3057,114,3,0,0,3975,224,236,147,573,1,1,19
4765,3047,262,18,566,97,6002,175,246,209,1667,1,1,29
4766,3105,85,19,339,63,1595,243,205,84,2779,2,1,29
4767,2766,127,12,30,-10,390,240,232,121,1041,2,1,30
4768,2813,63,14,162,47,2229,232,210,107,591,2,3,10
4769,3036,42,7,470,56,1301,221,225,139,2455,2,1,29
4770,2923,118,22,170,35,752,251,215,81,2678,2,1,29
4771,2888,194,18,212,90,1233,215,252,165,2792,2,3,11
4772,3199,155,11,319,-10,713,233,241,139,2321,2,3,23
4773,2837,168,16,0,0,1940,231,244,139,1224,2,3,13
4774,2637,174,58,90,-29,2854,170,180,67,6450,2,1,30
4775,2893,279,17,30,9,3107,170,240,208,2489,2,1,29
4776,2435,119,16,30,-8,560,245,225,104,618,6,3,4
4777,2967,54,11,624,239,3240,226,216,122,1423,2,1,12
4778,2109,160,25,30,4,1376,236,236,114,789,4,4,1
4779,2699,62,7,0,0,1340,226,226,134,661,1,3,31
4780,2867,0,6,150,20,3903,212,229,155,6366,2,1,29
4781,3177,46,15,67,4,2761,223,206,112,1814,1,3,31
4782,3236,356,14,108,28,3207,197,214,154,4184,1,1,38
4783,3014,156,6,42,6,5202,227,241,148,1921,1,1,23
4784,3227,94,18,182,27,30,246,210,87,685,2,2,32
4785,3291,343,18,268,45,2039,181,211,166,443,7,3,39
4786,2983,292,30,495,173,1965,125,219,227,997,1,3,33
4787,3251,322,11,212,23,4158,193,229,176,1144,1,1,39
4788,3169,349,8,882,94,1574,205,226,160,2610,1,3,32
4789,3058,69,12,108,4,3501,233,215,113,516,1,3,20
4790,2724,16,11,212,75,2167,211,217,142,2310,6,3,10
4791,3293,90,16,450,19,890,243,213,96,3413,2,2,32
4792,3169,288,1,330,32,2016,216,238,159,759,1,3,23
4793,3240,125,20,408,135,1295,249,221,90,2359,1,1,29
4794,3031,170,4,42,-2,3829,223,241,154,2674,1,1,29
4795,3191,262,7,285,33,5844,204,244,179,2236,2,1,22
4796,2870,160,5,30,-1,1140,225,241,150,1867,1,3,23
4797,3228,135,5,85,7,4551,228,238,144,1973,1,1,38
4798,2913,92,28,272,108,2737,250,184,44,1242,2,3,10
4799,2801,168,14,90,-2,3331,230,245,143,6075,2,1,12
4800,3296,355,15,67,1,3392,195,213,154,2448,7,3,23
4801,2653,178,6,67,6,1448,223,244,155,5388,2,1,29
4802,2843,140,18,150,40,2218,244,232,109,1142,5,3,13
4803,2285,335,20,42,9,297,172,210,175,437,3,4,10
4804,3039,292,21,108,11,3503,158,231,212,1158,1,3,39
4805,1956,48,24,30,14,180,221,182,83,582,3,4,1
4806,2968,79,8,67,9,4920,231,226,128,6075,2,1,12
4807,2995,86,11,234,70,1421,236,222,117,1637,2,3,32
4808,2887,181,10,108,15,3276,223,247,156,2852,2,1,29
4809,3001,278,17,234,47,2609,172,241,207,1833,2,3,32
4810,3137,158,4,67,-2,2089,225,240,150,607,1,1,23
4811,3205,45,18,124,2,872,222,198,104,1976,1,2,23
4812,2602,38,19,124,2,741,217,195,107,1291,3,3,10
4813,2803,94,12,301,48,1337,239,221,110,789,2,3,28
4814,3066,149,30,242,76,390,242,223,86,1736,2,3,22
4815,2578,344,21,0,0,541,172,202,165,2011,2,1,16
4816,3109,162,3,175,14,4403,222,240,153,1605,1,1,22
4817,3214,227,22,150,18,2118,182,254,202,3368,1,1,29
4818,3362,336,10,661,70,2402,197,226,168,1101,1,3,32
4819,2890,71,18,30,5,4402,237,202,89,3726,1,1,29
4820,2900,55,18,484,213,497,229,199,97,1610,2,1,29
4821,3261,76,4,42,1,6276,225,232,143,153,1,1,22
4822,3016,108,7,335,51,391,232,232,133,1215,1,1,23
4823,2778,240,5,360,51,1982,210,244,172,1289,2,1,29
4824,2764,351,11,510,110,2717,199,221,159,1495,2,3,32
4825,2907,162,15,256,58,3114,234,242,135,3307,2,1,30
4826,2723,62,20,134,73,150,233,196,87,967,5,1,30
4827,2534,38,6,216,12,1266,220,227,143,4228,2,1,18
4828,3344,340,22,470,141,2242,167,202,170,969,1,3,39
4829,3258,117,19,175,32,1718,249,219,90,2932,1,1,39
4830,2196,282,28,120,78,693,133,229,229,960,6,4,10
4831,3002,61,17,404,37,4803,232,203,99,2652,1,1,29
4832,3252,296,14,558,72,693,179,235,196,793,1,2,23
4833,3163,5,11,1200,294,2920,205,218,149,1871,2,3,32
4834,3034,315,3,488,49,4110,210,236,164,4339,2,1,29
4835,3091,63,7,175,24,1566,226,226,134,2090,2,1,29
4836,2916,72,3,240,23,390,223,233,146,404,2,3,31
4837,3162,53,7,360,30,3294,224,224,134,3335,1,1,29
4838,3343,295,13,484,104,3301,182,236,194,3378,7,3,32
4839,2843,163,18,150,-10,3048,234,242,131,1489,2,3,13
4840,3161,83,10,192,27,2946,235,222,119,2030,1,3,31
4841,3275,72,17,511,139,977,237,206,95,5343,1,2,24
4842,3276,10,11,446,72,1221,209,219,147,417,1,1,22
4843,3372,165,7,134,33,1676,227,243,149,3261,1,2,38
4844,2379,346,29,400,189,1276,151,181,159,330,3,4,10
4845,3130,196,17,313,54,953,214,252,167,1383,2,1,30
4846,2875,130,13,390,92,837,240,233,120,2835,2,3,11
4847,2899,353,13,395,101,3331,196,216,157,644,2,3,10
4848,3165,61,6,295,52,1889,225,227,136,3339,1,3,33
4849,3011,56,5,300,23,5405,223,229,141,5133,1,1,29
4850,2974,322,11,301,53,1806,192,229,177,664,2,3,31
4851,3061,126,15,591,73,1209,244,229,111,2039,2,3,33
4852,3213,179,10,175,20,4149,225,246,154,2140,1,3,33
4853,3262,321,13,242,25,4383,186,227,180,658,1,3,32
4854,3240,105,15,0,0,5106,244,221,103,306,2,1,38
4855,2796,119,11,134,33,3344,239,231,121,3136,2,1,30
4856,2456,224,13,306,46,765,202,252,185,1074,3,3,2
4857,2405,252,26,201,82,285,151,246,226,642,3,4,10
4858,2163,78,37,297,131,693,239,149,0,752,3,4,6
4859,2822,320,16,0,0,2516,176,223,186,1337,2,3,31
4860,3292,315,10,124,22,1544,194,232,178,1471,1,3,32
4861,3236,105,12,693,120,2372,240,225,113,2555,1,3,33
4862,3112,212,9,330,36,859,212,249,172,1376,2,1,30
4863,2936,332,11,300,132,5001,193,225,172,4858,1,1,29
4864,3142,347,14,558,52,3335,191,216,162,3126,2,1,29
4865,3403,200,6,1170,192,3055,218,246,163,1418,7,3,38
4866,3400,171,9,1168,179,3017,226,244,150,1451,7,3,38
4867,2674,29,14,458,-9,684,214,208,127,283,2,3,10
4868,2666,245,31,108,6,1537,143,246,228,1208,2,3,3
4869,2659,8,14,234,-3,1705,202,211,144,1624,2,3,10
4870,2648,22,18,120,36,2190,206,198,125,912,2,3,10
4871,2640,62,13,180,12,3265,230,213,113,2335,2,3,11
4872,2885,136,14,212,56,2134,241,234,118,900,2,3,32
4873,3041,203,6,782,174,5972,217,246,164,3693,2,1,20
4874,2143,324,36,124,76,547,107,176,195,812,6,4,10
4875,2634,133,23,120,55,1706,249,222,87,1182,3,3,4
4876,2897,335,16,175,27,1768,181,216,173,2783,2,3,33
4877,3319,219,21,324,102,3300,192,254,192,579,1,3,33
4878,2976,63,17,408,159,421,233,204,98,752,2,1,29
4879,2607,336,18,0,0,1549,178,213,173,5053,2,1,16
4880,3032,304,5,0,0,3000,205,237,171,1248,1,3,20
4881,2718,298,16,201,18,1449,175,233,198,2117,5,3,17
4882,2792,79,9,537,58,242,232,224,124,918,5,3,11
4883,2972,69,9,212,13,3606,230,222,125,1024,2,1,29
4884,3249,121,8,127,2,2969,235,233,130,706,1,1,23
4885,2959,29,8,270,14,4543,217,222,140,5768,2,1,12
4886,2713,135,10,268,60,1824,237,236,129,1136,2,3,11
4887,3220,320,16,95,35,2758,178,224,185,1231,1,3,23
4888,3263,137,13,258,43,1602,239,235,123,1974,1,3,32
4889,2909,295,21,192,108,4802,155,229,212,4891,1,1,29
4890,3194,270,14,134,30,1761,184,244,199,2305,1,3,33
4891,2895,183,14,85,11,247,223,249,155,966,5,3,33
4892,2778,88,6,0,0,2557,229,230,135,2062,2,1,12
4893,2350,11,14,190,56,966,204,211,142,607,3,4,6
4894,3131,7,15,277,74,3740,200,208,143,2028,2,3,39
4895,3074,11,8,120,23,1931,211,223,148,1785,2,3,33
4896,2690,115,15,90,7,2646,245,224,104,6670,2,1,29
4897,2952,99,18,295,-10,4484,247,211,86,3439,2,1,29
4898,2025,72,26,42,14,382,239,180,56,485,4,4,1
4899,2936,325,8,474,0,3610,202,232,170,5857,2,1,20
4900,3011,331,20,134,6,5647,170,212,179,2032,1,1,22
4901,2934,253,31,361,112,2733,135,242,234,600,2,3,13
4902,3386,356,13,658,47,1365,198,216,155,1477,7,3,38
4903,3062,6,26,765,38,2602,179,180,130,2281,2,3,24
4904,3013,135,3,30,0,3013,224,238,149,1579,1,3,23
4905,3255,224,13,837,120,663,203,252,184,2787,2,3,32
4906,3285,217,14,858,194,3871,204,253,182,841,2,3,34
4907,3138,258,21,170,22,3818,166,247,216,1292,1,3,39
4908,2132,268,24,30,10,900,151,241,225,342,3,4,1
4909,3226,328,10,324,47,351,195,228,172,1176,1,3,23
4910,2826,22,20,268,80,624,204,194,121,2203,2,1,24
4911,2309,46,29,90,57,1445,215,165,66,1087,3,4,10
4912,3126,7,12,420,39,1590,205,215,147,2783,1,3,31
4913,3070,201,15,30,-2,2773,212,252,171,1276,2,3,23
4914,2998,320,12,212,20,5077,190,229,179,6033,2,1,12
4915,3175,166,19,120,20,1312,232,243,134,1844,1,2,23
4916,2800,96,22,85,28,3971,249,201,69,957,2,1,22
4917,2873,14,4,319,105,3719,216,231,153,5855,1,1,29
4918,3073,2,14,228,3,2541,200,213,149,2255,1,3,32
4919,2983,145,29,170,12,510,245,221,83,1652,2,1,30
4920,2683,18,15,108,27,1565,207,207,134,1869,2,3,11
4921,2896,26,20,42,19,1245,207,193,116,830,2,3,31
4922,2945,337,16,90,9,4415,182,215,171,1914,2,1,24
4923,2890,311,18,85,20,5019,168,224,196,4472,2,1,24
4924,2990,17,28,454,-35,666,186,171,110,1167,1,3,24
4925,3010,141,25,210,37,2685,247,224,90,1559,2,3,33
4926,3008,304,22,404,161,5702,154,223,207,4924,2,1,24
4927,2599,356,6,0,0,1521,210,229,157,5078,2,1,16
4928,3090,333,20,247,30,1231,170,210,177,2264,1,3,33
4929,3248,163,13,306,72,3254,232,243,140,3062,1,1,23
4930,3255,314,17,366,116,2532,173,225,191,218,1,3,33
4931,3111,206,21,127,47,2491,202,254,179,942,2,3,23
4932,3111,84,11,258,40,510,236,221,115,618,1,3,32
4933,2378,18,29,30,13,1087,184,166,105,782,6,4,10
4934,3073,84,19,170,36,4233,243,204,84,2713,2,1,29
4935,3273,288,9,60,8,5460,194,240,186,301,2,1,38
4936,2786,141,9,170,29,2029,234,238,134,2943,2,1,12
4937,3211,97,10,270,-39,1573,236,226,120,2445,1,1,22
4938,3223,165,16,180,13,2221,232,244,138,1705,1,3,27
4939,2931,214,22,210,72,1084,194,254,188,391,2,3,33
4940,2865,325,23,361,111,2512,157,208,188,983,2,3,24
4941,3029,122,12,0,0,2751,240,230,118,446,2,1,30
4942,2999,272,12,421,84,2783,189,243,194,1575,2,3,32
4943,2924,203,19,150,69,1130,207,253,175,459,2,3,33
4944,2686,353,18,90,21,2030,186,206,156,1856,2,1,29
4945,3106,280,18,90,34,2405,168,239,209,722,2,3,32
4946,3085,311,18,488,274,1170,169,225,195,1194,1,3,33
4947,2952,44,17,247,48,4614,222,201,109,3818,2,1,29
4948,2951,72,5,60,5,1652,226,230,138,2125,2,3,32
4949,2708,75,7,330,-2,1052,229,226,130,1777,2,1,12
4950,3083,139,13,150,-18,700,240,235,123,1664,1,1,23
4951,3077,90,10,430,-6,5031,236,224,118,1374,1,1,29
4952,3164,17,13,90,18,4773,208,212,139,1290,1,1,23
4953,2592,356,21,0,0,960,183,198,150,3234,2,1,20
4954,2842,212,31,30,16,2763,178,251,190,1383,2,3,13
4955,3153,81,22,124,-29,1766,243,195,70,1528,1,1,29
4956,3330,29,5,30,-4,1464,218,229,147,3461,2,2,35
4957,2608,72,3,124,-3,636,223,233,146,6110,5,1,29
4958,2987,32,9,30,7,210,218,221,139,85,1,2,22
4959,3287,270,4,900,152,930,208,241,171,2467,2,3,32
4960,3114,57,11,67,8,2538,228,217,121,1782,1,3,31
4961,3201,148,11,576,49,5858,234,239,135,1200,1,1,29
4962,3149,332,4,190,7,3368,211,235,162,4053,1,1,29
4963,3136,92,11,150,26,1410,237,223,116,1837,1,3,31
4964,3047,328,8,216,34,430,202,231,169,1032,2,3,23
4965,2341,101,11,85,6,400,238,226,117,782,3,4,2
4966,3195,338,4,175,14,3945,210,233,162,1396,1,1,38
4967,3381,266,8,446,59,3808,201,243,182,2167,7,3,40
4968,3113,25,9,182,29,3610,216,221,141,1302,1,1,29
4969,3126,28,12,256,50,2873,215,213,133,837,1,3,22
4970,2769,266,31,443,224,1181,128,235,237,1511,2,3,28
4971,2949,257,13,408,46,5489,190,247,195,4422,2,1,29
4972,2900,74,10,484,43,4152,233,220,119,5707,2,1,12
4973,2939,0,0,30,0,4739,218,238,156,2381,1,1,29
4974,2955,57,11,85,9,1897,228,217,121,2518,1,3,23
4975,2653,83,17,258,2,514,241,209,93,1128,2,1,29
4976,3214,18,7,691,62,930,215,226,148,1994,1,3,32
4977,3064,161,11,153,23,674,231,243,142,1443,2,3,22
4978,3274,351,19,30,19,5917,184,205,157,492,1,1,38
4979,2613,341,17,247,72,1471,183,213,168,1651,3,3,10
4980,2975,332,4,30,3,1784,211,235,162,3558,1,1,23
4981,2670,58,4,175,13,216,223,230,143,934,2,3,11
4982,3046,166,7,424,86,5464,226,243,150,750,2,1,29
4983,3268,347,11,571,109,1077,198,222,162,2245,2,1,23
4984,2931,113,19,335,34,277,249,217,87,350,1,3,33
4985,3123,16,20,979,364,1106,200,195,127,1678,2,3,33
4986,2940,254,9,295,77,1747,200,246,185,2713,2,3,32
4987,2801,35,25,218,37,3000,209,178,92,618,2,3,10
4988,2758,37,14,591,76,569,219,208,122,1265,2,3,11
4989,2746,147,17,0,0,3109,241,236,118,1855,2,1,29
4990,3267,134,26,780,113,1233,250,217,78,2525,1,1,39
4991,3222,264,25,882,301,3352,151,242,225,2497,2,3,27
4992,2852,61,12,60,-8,1805,230,215,117,1978,2,3,32
4993,3105,118,7,120,9,5426,232,234,134,907,1,1,29
4994,3093,33,8,30,2,3776,219,222,139,295,1,3,23
4995,2266,280,33,342,191,1518,114,223,238,912,3,4,10
4996,3565,14,16,553,153,2856,203,204,135,1584,1,1,40
4997,3419,133,21,268,-4,2521,248,224,94,1052,7,3,40
4998,2481,88,13,30,0,1087,239,218,107,953,6,3,17
4999,3016,297,16,67,-9,738,175,234,199,1054,1,3,13
5000,3271,14,10,391,82,426,211,220,145,1370,1,2,23
5001,2756,13,5,0,0,1698,215,229,151,2848,2,1,23
5002,3176,359,15,899,159,1777,196,211,151,2234,1,3,31
5003,2804,173,23,30,-18,2928,227,244,135,1448,2,3,13
5004,3096,148,14,0,0,942,238,238,128,1768,1,1,23
5005,3199,312,13,210,19,4602,185,230,185,1024,1,3,32
5006,2721,300,29,323,162,1148,126,213,220,782,6,3,33
5007,3414,237,19,547,-38,1612,184,253,203,3808,1,2,33
5008,3010,151,26,212,19,564,242,229,99,1624,2,1,30
5009,3194,280,10,182,-24,3424,193,241,188,1450,1,1,22
5010,3281,258,20,1019,360,3438,168,247,215,2616,2,3,27
5011,3086,323,23,256,76,2736,156,210,190,2445,1,3,24
5012,3106,133,17,0,0,2601,245,230,108,1846,1,3,31
5013,3121,90,13,272,83,210,239,219,109,1677,2,1,22
5014,3278,252,9,646,60,598,200,247,185,1442,1,2,23
5015,2534,51,6,421,8,726,223,227,139,3636,2,1,18
5016,2587,36,12,323,18,1416,219,212,127,4250,2,1,29
5017,3610,34,7,277,73,1856,219,225,142,1708,7,2,40
5018,2903,39,13,531,36,2938,220,211,123,2147,2,1,23
5019,3299,111,10,85,15,1307,237,229,122,2312,1,1,40
5020,2777,76,24,162,30,3000,241,188,64,677,2,3,10
5021,2534,280,13,153,27,979,183,241,198,1080,2,4,6
5022,2690,120,16,201,-7,2052,246,224,102,742,2,3,11
5023,2889,272,22,395,243,1308,155,240,221,1637,2,3,33
5024,2772,64,19,430,145,792,234,198,89,892,2,3,33
5025,2775,39,6,85,5,1980,221,226,141,1302,2,1,12
5026,3024,150,9,466,-9,6594,232,240,139,3603,1,1,20
5027,2942,78,12,212,-8,1707,235,219,114,1449,2,1,29
5028,3324,327,18,666,42,2307,172,216,182,953,1,3,32
5029,3021,198,3,60,0,1436,218,242,160,633,2,3,31
5030,3365,336,12,569,167,1950,193,223,170,3101,1,1,40
5031,3275,259,7,371,91,361,203,244,180,1463,1,2,23
5032,3286,277,11,256,68,3421,189,242,193,1907,1,1,29
5033,2939,31,20,470,126,2789,210,193,112,1590,2,3,10
5034,2346,141,21,108,47,900,246,229,101,842,3,4,3
5035,2958,74,3,285,-1,1249,224,233,144,1981,1,1,22
5036,2761,132,12,90,21,1518,240,233,121,2467,2,1,29
5037,3577,122,29,987,358,2565,254,202,53,1087,1,1,40
5038,3197,88,14,636,54,499,240,216,103,1651,2,1,22
5039,3056,342,6,0,0,3709,208,231,162,573,1,1,23
5040,2674,214,11,85,17,1853,210,250,175,1740,3,3,4
5041,3130,151,12,150,21,2287,235,240,134,2455,1,1,30
5042,3283,302,24,212,62,2190,145,221,213,3054,1,1,39
5043,3246,167,13,201,40,1731,231,244,143,1793,1,3,33
5044,2517,23,27,256,30,731,193,172,103,1242,3,4,10
5045,2832,2,24,443,202,1172,178,186,139,595,2,3,33
5046,3176,63,2,124,0,5233,221,234,150,2910,2,1,23
5047,2797,79,33,182,125,1423,242,162,23,990,2,3,13
5048,3103,353,9,277,-17,2241,204,224,158,2368,2,3,32
5049,2968,26,7,342,29,5835,217,225,144,4187,2,1,29
5050,2335,144,2,216,53,492,222,238,152,664,3,4,4
5051,3316,85,11,376,74,904,236,221,114,1159,7,3,39
5052,3390,358,19,470,122,5060,188,203,149,534,1,1,38
